Table 3: Exons per gene,,
LOC111120314,3,CHR2
LOC111119582,48,CHR2
LOC111119581,3,CHR2
LOC111129932,9,CHR4
LOC111129930,9,CHR4
LOC111130155,9,CHR4
LOC111130153,11,CHR4
LOC111132212,2,CHR5
LOC111100020,9,CHR6
LOC111102552,4,CHR7
LOC111103040,8,CHR7
LOC111105336,4,CHR7
LOC111105335,4,CHR7
LOC111105339,8,CHR7
LOC111105333,43,CHR7
LOC111103458,4,CHR7
LOC111103460,3,CHR7
LOC111104840,12,CHR7
LOC111103161,3,CHR7
LOC111108760,6,CHR8
LOC111106989,29,CHR8
LOC111110635,3,CHR8
LOC111106328,4,CHR8
LOC111106343,4,CHR8
LOC111109878,5,CHR8
LOC111105744,4,CHR8
LOC111108559,2,CHR8
LOC111109668,3,CHR8
LOC111109667,7,CHR8
LOC111108253,4,CHR8
LOC111110321,6,CHR8
LOC111109557,8,CHR8
LOC111108220,2,CHR8
LOC111105930,1,CHR8
LOC111109343,1,CHR8
LOC111109344,1,CHR8
LOC111106079,1,CHR8
LOC111106081,3,CHR8
LOC111109357,3,CHR8
LOC111109358,3,CHR8
LOC111109853,2,CHR8
LOC111109737,2,CHR8
LOC111108121,80,CHR8
LOC111107002,4,CHR8
LOC111110115,3,CHR8
LOC111111775,12,CHR9
LOC111113702,9,CHR9
LOC111115664,5,CHR9
LOC111112005,3,CHR9
LOC111111454,3,CHR9
LOC111115902,2,CHR9
LOC111110875,5,CHR9
LOC111111241,62,CHR9
